topic,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
0,0.00866738894907909,0.07511737089201878,0.05489346334416757,0.01155651859877212,0.02925243770314193,0.01119537739256049,0.02311303719754424,0.011917659804983749,0.012278801011195377,0.022029613578909354,0.024557602022390754,0.01986276634163958,0.01119537739256049,0.047670639219934995,0.05417118093174431,0.007945106536655833,0.02239075478512098,0.012278801011195377,0.012278801011195377,0.015167930660888408,0.004694835680751174,0.014084507042253521,0.009750812567713976,0.03358613217768147,0.023835319609967497,0.058143734200072225,0.04947634525099314,0.00866738894907909,0.05669916937522571,0.015167930660888408,0.041170097508125676,0.01950162513542795,0.006861682918020947,0.03214156735283496,0.03358613217768147,0.008306247742867461,0.0021668472372697724,0.0,0.0021668472372697724,0.0,0.0039725532683279165,0.013001083423618635,0.0263633080534489,0.016251354279523293,0.020585048754062838,0.012278801011195377
1,0.02648171500630517,0.09205548549810845,0.07440100882723834,0.014501891551071878,0.00819672131147541,0.02269861286254729,0.0069356872635561164,0.004413619167717529,0.011349306431273645,0.01008827238335435,0.013240857503152586,0.021437578814627996,0.03215636822194199,0.0725094577553594,0.05170239596469105,0.015132408575031526,0.02459016393442623,0.010718789407313998,0.011349306431273645,0.02395964691046658,0.00819672131147541,0.01197982345523329,0.009457755359394703,0.029634300126103404,0.025851197982345524,0.09646910466582598,0.08764186633039092,0.010718789407313998,0.00819672131147541,0.017654476670870115,0.013871374527112233,0.007566204287515763,0.01639344262295082,0.011349306431273645,0.017023959646910468,0.011349306431273645,0.0,0.0025220680958385876,0.0006305170239596469,0.0,0.0006305170239596469,0.01008827238335435,0.019546027742749054,0.02648171500630517,0.005674653215636823,0.0031525851197982345
2,0.010448678549477565,0.0313460356484327,0.03933620159803319,0.015365703749231715,0.06392132759680394,0.040565457897971724,0.02581438229870928,0.028272894898586354,0.005531653349723417,0.027658266748617086,0.017209588199139522,0.034419176398279044,0.01290719114935464,0.020282728948985862,0.03318992009834051,0.019053472649047325,0.03872157344806392,0.015365703749231715,0.02950215119852489,0.028272894898586354,0.008604794099569761,0.015365703749231715,0.02950215119852489,0.0215119852489244,0.017209588199139522,0.04240934234787953,0.06146281499692686,0.006760909649661954,0.04240934234787953,0.014136447449293177,0.034419176398279044,0.017209588199139522,0.006760909649661954,0.044253226797787336,0.02519975414874001,0.009834050399508297,0.0,0.0018438844499078057,0.0,0.0006146281499692685,0.0036877688998156115,0.00921942224953903,0.02089735709895513,0.015980331899200985,0.004917025199754148,0.008604794099569761
3,0.003980891719745223,0.03662420382165605,0.030254777070063694,0.022292993630573247,0.01751592356687898,0.026273885350318472,0.016719745222929936,0.027070063694267517,0.01194267515923567,0.025477707006369428,0.028662420382165606,0.014331210191082803,0.01194267515923567,0.02388535031847134,0.022292993630573247,0.03184713375796178,0.04617834394904458,0.05334394904458599,0.01194267515923567,0.027070063694267517,0.02388535031847134,0.026273885350318472,0.03821656050955414,0.03821656050955414,0.024681528662420384,0.02388535031847134,0.03503184713375796,0.020700636942675158,0.02308917197452229,0.016719745222929936,0.020700636942675158,0.035828025477707005,0.022292993630573247,0.03821656050955414,0.054140127388535034,0.009554140127388535,0.0015923566878980893,0.0,0.0007961783439490446,0.0,0.0,0.006369426751592357,0.02786624203821656,0.006369426751592357,0.010350318471337579,0.005573248407643312
4,0.005411255411255411,0.047619047619047616,0.03571428571428571,0.0010822510822510823,0.0010822510822510823,0.022727272727272728,0.016233766233766232,0.03354978354978355,0.0021645021645021645,0.011904761904761904,0.047619047619047616,0.010822510822510822,0.005411255411255411,0.010822510822510822,0.02813852813852814,0.0,0.008658008658008658,0.012987012987012988,0.006493506493506494,0.04112554112554113,0.00974025974025974,0.005411255411255411,0.049783549783549784,0.07142857142857142,0.0183982683982684,0.017316017316017316,0.09307359307359307,0.0,0.004329004329004329,0.015151515151515152,0.003246753246753247,0.05303030303030303,0.024891774891774892,0.03354978354978355,0.09740259740259741,0.03787878787878788,0.0,0.0,0.0010822510822510823,0.0,0.012987012987012988,0.006493506493506494,0.08116883116883117,0.010822510822510822,0.0010822510822510823,0.0021645021645021645
5,0.0021645021645021645,0.0021645021645021645,0.03571428571428571,0.05952380952380952,0.0367965367965368,0.07467532467532467,0.011904761904761904,0.03463203463203463,0.06168831168831169,0.049783549783549784,0.007575757575757576,0.0021645021645021645,0.0,0.015151515151515152,0.0010822510822510823,0.05627705627705628,0.06493506493506493,0.05519480519480519,0.0021645021645021645,0.06277056277056277,0.017316017316017316,0.01948051948051948,0.003246753246753247,0.005411255411255411,0.004329004329004329,0.0010822510822510823,0.006493506493506494,0.025974025974025976,0.02813852813852814,0.017316017316017316,0.010822510822510822,0.005411255411255411,0.0183982683982684,0.07900432900432901,0.0010822510822510823,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0021645021645021645,0.007575757575757576,0.08116883116883117,0.012987012987012988
6,0.007853403141361256,0.10602094240837696,0.03664921465968586,0.03795811518324607,0.03795811518324607,0.056282722513089,0.014397905759162303,0.03534031413612566,0.009162303664921465,0.014397905759162303,0.017015706806282723,0.028795811518324606,0.04450261780104712,0.03795811518324607,0.041884816753926704,0.005235602094240838,0.01832460732984293,0.014397905759162303,0.013089005235602094,0.013089005235602094,0.006544502617801047,0.024869109947643978,0.060209424083769635,0.034031413612565446,0.009162303664921465,0.02356020942408377,0.030104712041884817,0.0,0.04057591623036649,0.03795811518324607,0.024869109947643978,0.005235602094240838,0.010471204188481676,0.02225130890052356,0.015706806282722512,0.01832460732984293,0.0,0.0,0.0,0.0,0.006544502617801047,0.006544502617801047,0.009162303664921465,0.01963350785340314,0.0013089005235602095,0.002617801047120419
7,0.01084010840108401,0.023035230352303523,0.008130081300813009,0.0040650406504065045,0.012195121951219513,0.006775067750677507,0.0,0.07588075880758807,0.02710027100271003,0.014905149051490514,0.023035230352303523,0.04607046070460705,0.0013550135501355014,0.01084010840108401,0.006775067750677507,0.008130081300813009,0.02032520325203252,0.005420054200542005,0.006775067750677507,0.06368563685636856,0.012195121951219513,0.009485094850948509,0.025745257452574527,0.05962059620596206,0.037940379403794036,0.036585365853658534,0.01084010840108401,0.0013550135501355014,0.01084010840108401,0.005420054200542005,0.009485094850948509,0.10840108401084012,0.023035230352303523,0.04742547425474255,0.14363143631436315,0.01084010840108401,0.0,0.0,0.0013550135501355014,0.0013550135501355014,0.0027100271002710027,0.0027100271002710027,0.008130081300813009,0.008130081300813009,0.025745257452574527,0.02168021680216802
8,0.0017452006980802793,0.007853403141361256,0.009598603839441536,0.02268760907504363,0.011343804537521814,0.03664921465968586,0.0034904013961605585,0.008726003490401396,0.013961605584642234,0.02181500872600349,0.07591623036649214,0.030541012216404886,0.013089005235602094,0.009598603839441536,0.006980802792321117,0.05410122164048865,0.03577661431064572,0.011343804537521814,0.02181500872600349,0.020942408376963352,0.009598603839441536,0.011343804537521814,0.0506108202443281,0.06282722513089005,0.016579406631762654,0.029668411867364748,0.006108202443280977,0.010471204188481676,0.028795811518324606,0.031413612565445025,0.02006980802792321,0.029668411867364748,0.027050610820244327,0.03664921465968586,0.06282722513089005,0.013961605584642234,0.0008726003490401396,0.0,0.0,0.0,0.0034904013961605585,0.02617801047120419,0.02268760907504363,0.028795811518324606,0.03228621291448516,0.02006980802792321
9,0.03467406380027739,0.008321775312066574,0.013869625520110958,0.013869625520110958,0.022191400832177532,0.006934812760055479,0.0027739251040221915,0.0027739251040221915,0.08599167822468794,0.027739251040221916,0.036061026352288486,0.018030513176144243,0.022191400832177532,0.011095700416088766,0.012482662968099861,0.005547850208044383,0.0027739251040221915,0.0027739251040221915,0.0,0.006934812760055479,0.06657420249653259,0.0319001386962552,0.04299583911234397,0.06934812760055478,0.12066574202496533,0.004160887656033287,0.023578363384188627,0.013869625520110958,0.022191400832177532,0.006934812760055479,0.0,0.033287101248266296,0.015256588072122053,0.005547850208044383,0.05131761442441054,0.019417475728155338,0.004160887656033287,0.0,0.0,0.0,0.004160887656033287,0.020804438280166437,0.012482662968099861,0.07350901525658807,0.011095700416088766,0.009708737864077669
