Unique_ID,topic,school,is_post
R_GT_00008,0,Georgia Tech,True
R_GT_00017,0,Georgia Tech,False
R_GT_00011,0,Georgia Tech,False
R_GT_00009,0,Georgia Tech,False
R_GT_00012,0,Georgia Tech,False
R_GT_00018,0,Georgia Tech,False
R_GT_00013,0,Georgia Tech,False
R_GT_00010,0,Georgia Tech,False
R_GT_00015,0,Georgia Tech,False
R_GT_00016,0,Georgia Tech,False
R_GT_00019,0,Georgia Tech,False
R_GT_00022,10,Georgia Tech,True
R_GT_00027,10,Georgia Tech,False
R_GT_00023,10,Georgia Tech,False
R_GT_00028,10,Georgia Tech,False
R_GT_00029,10,Georgia Tech,False
R_GT_00030,10,Georgia Tech,False
R_GT_00025,10,Georgia Tech,False
R_GT_00024,10,Georgia Tech,False
R_GT_00032,0,Georgia Tech,True
R_GT_00035,0,Georgia Tech,False
R_GT_00038,0,Georgia Tech,False
R_GT_00036,0,Georgia Tech,False
R_GT_00039,0,Georgia Tech,False
R_GT_00037,0,Georgia Tech,False
R_GT_00040,3,Georgia Tech,True
R_GT_00053,0,Georgia Tech,True
R_GT_00054,0,Georgia Tech,False
R_GT_00055,0,Georgia Tech,False
R_GT_00059,0,Georgia Tech,False
R_GT_00063,0,Georgia Tech,False
R_GT_00075,0,Georgia Tech,False
R_GT_00056,0,Georgia Tech,False
R_GT_00069,0,Georgia Tech,False
R_GT_00057,0,Georgia Tech,False
R_GT_00060,0,Georgia Tech,False
R_GT_00076,0,Georgia Tech,False
R_GT_00070,0,Georgia Tech,False
R_GT_00064,0,Georgia Tech,False
R_GT_00071,0,Georgia Tech,False
R_GT_00061,0,Georgia Tech,False
R_GT_00065,0,Georgia Tech,False
R_GT_00058,0,Georgia Tech,False
R_GT_00066,0,Georgia Tech,False
R_GT_00062,0,Georgia Tech,False
R_GT_00067,0,Georgia Tech,False
R_GT_00078,0,Georgia Tech,False
R_GT_00079,0,Georgia Tech,False
R_GT_00072,0,Georgia Tech,False
R_GT_00068,0,Georgia Tech,False
R_GT_00073,0,Georgia Tech,False
R_GT_00080,0,Georgia Tech,False
R_GT_00074,0,Georgia Tech,False
R_GT_00087,0,Georgia Tech,True
R_GT_00091,0,Georgia Tech,False
R_GT_00088,0,Georgia Tech,False
R_GT_00092,0,Georgia Tech,False
R_GT_00089,0,Georgia Tech,False
R_GT_00095,0,Georgia Tech,False
R_GT_00096,0,Georgia Tech,False
R_GT_00093,0,Georgia Tech,False
R_GT_00094,0,Georgia Tech,False
R_GT_00106,2,Georgia Tech,True
R_GT_00117,2,Georgia Tech,False
R_GT_00122,2,Georgia Tech,False
R_GT_00124,2,Georgia Tech,False
R_GT_00125,2,Georgia Tech,False
R_GT_00131,2,Georgia Tech,False
R_GT_00107,2,Georgia Tech,False
R_GT_00108,2,Georgia Tech,False
R_GT_00111,2,Georgia Tech,False
R_GT_00115,2,Georgia Tech,False
R_GT_00113,2,Georgia Tech,False
R_GT_00126,2,Georgia Tech,False
R_GT_00127,2,Georgia Tech,False
R_GT_00132,2,Georgia Tech,False
R_GT_00119,2,Georgia Tech,False
R_GT_00133,2,Georgia Tech,False
R_GT_00128,2,Georgia Tech,False
R_GT_00134,2,Georgia Tech,False
R_GT_00120,2,Georgia Tech,False
R_GT_00109,2,Georgia Tech,False
R_GT_00114,2,Georgia Tech,False
R_GT_00123,2,Georgia Tech,False
R_GT_00135,2,Georgia Tech,False
R_GT_00136,2,Georgia Tech,False
R_GT_00110,2,Georgia Tech,False
R_GT_00137,2,Georgia Tech,False
R_GT_00121,2,Georgia Tech,False
R_GT_00140,0,Georgia Tech,True
R_GT_00142,0,Georgia Tech,False
R_GT_00144,0,Georgia Tech,False
R_GT_00143,0,Georgia Tech,False
R_GT_00153,0,Georgia Tech,True
R_GT_00154,0,Georgia Tech,False
R_GT_00155,0,Georgia Tech,False
R_GT_00156,18,Georgia Tech,True
R_GT_00164,18,Georgia Tech,False
