topic,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
-1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0026455026455026454,0.02072310405643739,0.025573192239858905,0.0445326278659612,0.018077601410934743,0.03064373897707231,0.01455026455026455,0.03152557319223986,0.019400352733686066,0.026234567901234566,0.03042328042328042,0.019400352733686066,0.02821869488536155,0.02358906525573192,0.014991181657848324,0.059082892416225746,0.018738977072310405,0.017195767195767195,0.0427689594356261,0.05202821869488536,0.01895943562610229,0.025352733686067018,0.06525573192239859,0.033950617283950615,0.00837742504409171,0.047839506172839504,0.04254850088183421,0.01300705467372134,0.042328042328042326,0.02667548500881834,0.015652557319223985,0.011022927689594356,0.03791887125220458,0.06018518518518518,0.004629629629629629,0.003968253968253968,0.0011022927689594356,0.0008818342151675485,0.0
1,0.0,0.0004628558204119417,0.0009257116408238834,0.0009257116408238834,0.0,0.0,0.0,0.0004628558204119417,0.01643138162462393,0.054385558898403144,0.03286276324924786,0.017819949085859755,0.03008562832677621,0.03610275399213145,0.03610275399213145,0.03540847026151354,0.03633418190233742,0.040268456375838924,0.04003702846563296,0.03263133533904189,0.03841703309419116,0.047211293682018055,0.03587132608192548,0.0277713492247165,0.03471418653089563,0.047211293682018055,0.0333256190696598,0.045591298310576255,0.03610275399213145,0.04142559592686878,0.042119879657486696,0.04142559592686878,0.043277019208516544,0.05808840546169868,0.01619995371441796,0.0,0.0,0.0,0.0
2,0.0,0.001838235294117647,0.0009191176470588235,0.0009191176470588235,0.0,0.00045955882352941176,0.00045955882352941176,0.0,0.03216911764705882,0.07720588235294118,0.029411764705882353,0.0234375,0.02803308823529412,0.03308823529411765,0.021599264705882353,0.0234375,0.03354779411764706,0.034926470588235295,0.035845588235294115,0.03860294117647059,0.06066176470588235,0.0625,0.046875,0.029871323529411766,0.03676470588235294,0.03308823529411765,0.02803308823529412,0.02619485294117647,0.024356617647058824,0.03216911764705882,0.027573529411764705,0.042738970588235295,0.05652573529411765,0.06112132352941176,0.015625,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0012004801920768306,0.0024009603841536613,0.0,0.0012004801920768306,0.0,0.027611044417767107,0.062424969987995196,0.03241296518607443,0.009603841536614645,0.024009603841536616,0.03601440576230492,0.01800720288115246,0.05162064825930372,0.04561824729891957,0.04921968787515006,0.062424969987995196,0.022809123649459785,0.014405762304921969,0.062424969987995196,0.03241296518607443,0.02040816326530612,0.025210084033613446,0.05162064825930372,0.026410564225690276,0.028811524609843937,0.058823529411764705,0.055222088835534214,0.06362545018007203,0.022809123649459785,0.014405762304921969,0.062424969987995196,0.014405762304921969,0.0,0.0,0.0,0.0
4,0.003246753246753247,0.03463203463203463,0.02813852813852814,0.0183982683982684,0.015151515151515152,0.0183982683982684,0.05194805194805195,0.010822510822510822,0.015151515151515152,0.048701298701298704,0.00974025974025974,0.004329004329004329,0.008658008658008658,0.046536796536796536,0.004329004329004329,0.007575757575757576,0.025974025974025976,0.13528138528138528,0.05303030303030303,0.049783549783549784,0.0367965367965368,0.05411255411255411,0.07467532467532467,0.006493506493506494,0.01406926406926407,0.012987012987012988,0.032467532467532464,0.017316017316017316,0.08658008658008658,0.008658008658008658,0.022727272727272728,0.008658008658008658,0.016233766233766232,0.007575757575757576,0.005411255411255411,0.0010822510822510823,0.003246753246753247,0.0010822510822510823,0.0
5,0.0,0.0012437810945273632,0.006218905472636816,0.0012437810945273632,0.0,0.0024875621890547263,0.0012437810945273632,0.0,0.0024875621890547263,0.0012437810945273632,0.0012437810945273632,0.0,0.0012437810945273632,0.0,0.022388059701492536,0.03980099502487562,0.12064676616915423,0.09950248756218906,0.008706467661691543,0.03731343283582089,0.011194029850746268,0.10820895522388059,0.041044776119402986,0.0,0.0012437810945273632,0.01990049751243781,0.004975124378109453,0.0037313432835820895,0.05721393034825871,0.10323383084577115,0.0012437810945273632,0.008706467661691543,0.006218905472636816,0.1853233830845771,0.09950248756218906,0.0,0.0,0.0012437810945273632,0.0
6,0.010062893081761006,0.033962264150943396,0.03647798742138365,0.01761006289308176,0.02012578616352201,0.012578616352201259,0.061635220125786164,0.01761006289308176,0.022641509433962263,0.006289308176100629,0.1069182389937107,0.0440251572327044,0.018867924528301886,0.03270440251572327,0.01509433962264151,0.011320754716981131,0.01761006289308176,0.013836477987421384,0.06792452830188679,0.02389937106918239,0.028930817610062894,0.027672955974842768,0.027672955974842768,0.012578616352201259,0.010062893081761006,0.05408805031446541,0.011320754716981131,0.007547169811320755,0.02389937106918239,0.021383647798742137,0.06540880503144654,0.026415094339622643,0.02389937106918239,0.05660377358490566,0.006289308176100629,0.0025157232704402514,0.0,0.0025157232704402514,0.0
7,0.004573170731707317,0.06402439024390244,0.0899390243902439,0.07469512195121951,0.004573170731707317,0.03201219512195122,0.039634146341463415,0.03048780487804878,0.009146341463414634,0.006097560975609756,0.003048780487804878,0.0,0.01524390243902439,0.025914634146341462,0.010670731707317074,0.019817073170731708,0.010670731707317074,0.024390243902439025,0.012195121951219513,0.009146341463414634,0.021341463414634148,0.12195121951219512,0.019817073170731708,0.004573170731707317,0.004573170731707317,0.021341463414634148,0.07774390243902439,0.11128048780487805,0.004573170731707317,0.001524390243902439,0.010670731707317074,0.028963414634146343,0.012195121951219513,0.0701219512195122,0.001524390243902439,0.001524390243902439,0.0,0.0,0.0
8,0.0,0.0030120481927710845,0.002008032128514056,0.004016064257028112,0.001004016064257028,0.002008032128514056,0.1285140562248996,0.002008032128514056,0.0050200803212851405,0.007028112449799197,0.004016064257028112,0.001004016064257028,0.019076305220883535,0.11144578313253012,0.002008032128514056,0.0030120481927710845,0.0,0.004016064257028112,0.008032128514056224,0.035140562248995984,0.0963855421686747,0.007028112449799197,0.0030120481927710845,0.001004016064257028,0.012048192771084338,0.08835341365461848,0.0030120481927710845,0.07429718875502007,0.04216867469879518,0.010040160642570281,0.008032128514056224,0.03112449799196787,0.08734939759036145,0.009036144578313253,0.02610441767068273,0.0391566265060241,0.050200803212851405,0.06927710843373494,0.0
