Unique_ID,topic,school,is_post
R_UNC_00001,26,UNC,True
R_UNC_00002,26,UNC,False
R_UNC_00011,3,UNC,True
R_UNC_00035,3,UNC,False
R_UNC_00036,3,UNC,False
R_UNC_00033,3,UNC,False
R_UNC_00034,3,UNC,False
R_UNC_00028,3,UNC,False
R_UNC_00025,3,UNC,False
R_UNC_00026,3,UNC,False
R_UNC_00031,3,UNC,False
R_UNC_00023,3,UNC,False
R_UNC_00021,3,UNC,False
R_UNC_00019,3,UNC,False
R_UNC_00018,3,UNC,False
R_UNC_00014,3,UNC,False
R_UNC_00017,3,UNC,False
R_UNC_00013,3,UNC,False
R_UNC_00012,3,UNC,False
R_UNC_00015,3,UNC,True
R_UNC_00016,3,UNC,False
R_UNC_00037,2,UNC,True
R_UNC_00041,2,UNC,False
R_UNC_00040,2,UNC,False
R_UNC_00038,2,UNC,False
R_UNC_00049,20,UNC,True
R_UNC_00048,20,UNC,False
R_UNC_00047,20,UNC,False
R_UNC_00046,20,UNC,False
R_UNC_00045,20,UNC,False
R_UNC_00044,20,UNC,False
R_UNC_00054,0,UNC,True
R_UNC_00051,0,UNC,False
R_UNC_00052,0,UNC,False
R_UNC_00055,0,UNC,False
R_UNC_00053,0,UNC,False
R_UNC_00056,4,UNC,True
R_UNC_00065,4,UNC,False
R_UNC_00064,4,UNC,False
R_UNC_00061,4,UNC,False
R_UNC_00060,4,UNC,False
R_UNC_00062,4,UNC,False
R_UNC_00063,4,UNC,False
R_UNC_00059,4,UNC,False
R_UNC_00058,4,UNC,False
R_UNC_00057,4,UNC,False
R_UNC_00067,2,UNC,True
R_UNC_00068,8,UNC,True
R_UNC_00069,8,UNC,False
R_UNC_00072,11,UNC,True
R_UNC_00071,11,UNC,False
R_UNC_00073,11,UNC,True
R_UNC_00081,11,UNC,False
R_UNC_00080,11,UNC,False
R_UNC_00079,11,UNC,False
R_UNC_00075,11,UNC,True
R_UNC_00076,11,UNC,False
R_UNC_00077,11,UNC,False
R_UNC_00078,11,UNC,False
R_UNC_00082,2,UNC,True
R_UNC_00084,2,UNC,False
R_UNC_00083,2,UNC,False
R_UNC_00085,4,UNC,True
R_UNC_00087,4,UNC,False
R_UNC_00088,4,UNC,False
R_UNC_00092,4,UNC,False
R_UNC_00089,4,UNC,False
R_UNC_00086,4,UNC,False
R_UNC_00090,4,UNC,False
R_UNC_00091,4,UNC,False
R_UNC_00093,4,UNC,True
R_UNC_00103,4,UNC,False
R_UNC_00104,4,UNC,False
R_UNC_00102,4,UNC,False
R_UNC_00094,4,UNC,False
R_UNC_00098,4,UNC,False
R_UNC_00099,4,UNC,False
R_UNC_00100,4,UNC,False
R_UNC_00101,4,UNC,False
R_UNC_00095,4,UNC,False
R_UNC_00096,4,UNC,False
R_UNC_00097,4,UNC,False
R_UNC_00112,9,UNC,True
R_UNC_00115,9,UNC,False
R_UNC_00114,9,UNC,False
R_UNC_00116,9,UNC,False
R_UNC_00117,9,UNC,False
R_UNC_00113,9,UNC,False
R_UNC_00119,0,UNC,True
R_UNC_00121,0,UNC,False
R_UNC_00120,0,UNC,False
R_UNC_00122,0,UNC,False
R_UNC_00123,0,UNC,False
R_UNC_00124,14,UNC,True
R_UNC_00137,14,UNC,False
R_UNC_00135,14,UNC,False
R_UNC_00131,14,UNC,False
R_UNC_00138,14,UNC,False
R_UNC_00136,14,UNC,False
R_UNC_00129,14,UNC,False
R_UNC_00127,14,UNC,False
