topic,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.006022996897244022,0.032396422704873154,0.027468516152582587,0.017886475634239826,0.02299689724402263,0.01706515787552473,0.020076656324146742,0.017795218105493702,0.01587881000182515,0.02062420149662347,0.03987954006205512,0.01688264281803249,0.011042160978280709,0.022631867129038145,0.027924803796313197,0.011315933564519072,0.02108048914035408,0.020897974082861835,0.01706515787552473,0.027468516152582587,0.02445701770396058,0.03686804161343311,0.05639715276510312,0.04161343310823143,0.0245482752327067,0.0343128308085417,0.0376893593721482,0.013597371783172111,0.019711626209162256,0.008030662529658696,0.021354261726592445,0.039149479832086144,0.02354444241649936,0.046723854718014234,0.06470158788100018,0.020715459025369594,0.0005475451724767294,0.00045628764373060776,0.0010950903449534588,0.0003650301149844862,0.0017338930461763095,0.016061325059317393,0.021901806899069173,0.010768388392042343,0.01177222120824968,0.007483117357181967
1,0.02536640360766629,0.08455467869222097,0.05355129650507328,0.015783540022547914,0.005636978579481398,0.021984216459977453,0.009582863585118376,0.010146561443066516,0.009582863585118376,0.012965050732807215,0.010710259301014656,0.020856820744081173,0.02874859075535513,0.07609921082299888,0.05636978579481398,0.019165727170236752,0.02536640360766629,0.0011273957158962795,0.014092446448703494,0.016910935738444193,0.007891770011273957,0.011273957158962795,0.009582863585118376,0.02536640360766629,0.02536640360766629,0.0834272829763247,0.11386696730552424,0.012401352874859075,0.012965050732807215,0.018038331454340473,0.016347237880496055,0.010146561443066516,0.016910935738444193,0.012965050732807215,0.016910935738444193,0.018602029312288614,0.0,0.002254791431792559,0.0005636978579481398,0.0,0.0005636978579481398,0.010710259301014656,0.018602029312288614,0.029312288613303268,0.004509582863585118,0.002818489289740699
2,0.013120899718837863,0.030927835051546393,0.04217432052483599,0.013120899718837863,0.059044048734770385,0.04029990627928772,0.022492970946579195,0.028116213683223992,0.004686035613870665,0.03280224929709466,0.015932521087160263,0.03280224929709466,0.011246485473289597,0.01874414245548266,0.031865042174320526,0.02436738519212746,0.04779756326148079,0.014058106841611996,0.01780693533270853,0.01874414245548266,0.004686035613870665,0.01874414245548266,0.01780693533270853,0.023430178069353328,0.014058106841611996,0.04592314901593252,0.05248359887535145,0.006560449859418931,0.05248359887535145,0.013120899718837863,0.05716963448922212,0.022492970946579195,0.005623242736644799,0.03561387066541706,0.015932521087160263,0.013120899718837863,0.0,0.0028116213683223993,0.0,0.0,0.004686035613870665,0.01218369259606373,0.031865042174320526,0.023430178069353328,0.005623242736644799,0.0
3,0.00788436268068331,0.11432325886990802,0.04730617608409987,0.035479632063074903,0.03942181340341656,0.052562417871222074,0.01445466491458607,0.022339027595269383,0.006570302233902759,0.00788436268068331,0.011826544021024968,0.03153745072273324,0.04993429697766097,0.04204993429697766,0.04862023653088042,0.002628120893561104,0.017082785808147174,0.01445466491458607,0.01445466491458607,0.005256241787122208,0.006570302233902759,0.02759526938239159,0.04467805519053877,0.03416557161629435,0.017082785808147174,0.02890932982917214,0.030223390275952694,0.001314060446780552,0.045992115637319315,0.03679369250985545,0.024967148488830485,0.003942181340341655,0.009198423127463863,0.026281208935611037,0.017082785808147174,0.011826544021024968,0.0,0.0,0.0,0.0,0.006570302233902759,0.006570302233902759,0.00788436268068331,0.02102496714848883,0.001314060446780552,0.003942181340341655
4,0.0022172949002217295,0.0011086474501108647,0.03325942350332594,0.06097560975609756,0.036585365853658534,0.0787139689578714,0.013303769401330377,0.02993348115299335,0.06762749445676275,0.052106430155210645,0.005543237250554324,0.0022172949002217295,0.0011086474501108647,0.007760532150776054,0.0011086474501108647,0.06097560975609756,0.06319290465631928,0.052106430155210645,0.0011086474501108647,0.06097560975609756,0.015521064301552107,0.017738359201773836,0.004434589800443459,0.005543237250554324,0.005543237250554324,0.0,0.004434589800443459,0.02771618625277162,0.025498891352549888,0.015521064301552107,0.011086474501108648,0.005543237250554324,0.01662971175166297,0.0787139689578714,0.0022172949002217295,0.0033259423503325942,0.0,0.0,0.0,0.0,0.0,0.015521064301552107,0.011086474501108648,0.008869179600886918,0.07982261640798226,0.013303769401330377
5,0.015503875968992248,0.007751937984496124,0.009474590869939707,0.019810508182601206,0.01636520241171404,0.02239448751076658,0.0017226528854435831,0.012919896640826873,0.02756244616709733,0.01636520241171404,0.06029285099052541,0.018949181739879414,0.012058570198105082,0.006029285099052541,0.009474590869939707,0.041343669250646,0.025839793281653745,0.0068906115417743325,0.01636520241171404,0.013781223083548665,0.03962101636520241,0.024117140396210164,0.046511627906976744,0.07665805340223945,0.04909560723514212,0.02239448751076658,0.004306632213608958,0.012919896640826873,0.020671834625323,0.020671834625323,0.013781223083548665,0.03531438415159346,0.028423772609819122,0.03359173126614987,0.05426356589147287,0.02153316106804479,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,0.031007751937984496,0.015503875968992248,0.050818260120585705,0.029285099052540915,0.0034453057708871662
6,0.007575757575757576,0.022727272727272728,0.006060606060606061,0.0030303030303030303,0.012121212121212121,0.00909090909090909,0.0015151515151515152,0.08787878787878788,0.030303030303030304,0.00909090909090909,0.02727272727272727,0.05606060606060606,0.0,0.012121212121212121,0.007575757575757576,0.010606060606060607,0.019696969696969695,0.006060606060606061,0.006060606060606061,0.07121212121212121,0.013636363636363636,0.012121212121212121,0.02727272727272727,0.06818181818181818,0.04242424242424243,0.031818181818181815,0.004545454545454545,0.0,0.00909090909090909,0.007575757575757576,0.012121212121212121,0.11818181818181818,0.02878787878787879,0.05606060606060606,0.07121212121212121,0.012121212121212121,0.0,0.0,0.0030303030303030303,0.0015151515151515152,0.0030303030303030303,0.0030303030303030303,0.004545454545454545,0.007575757575757576,0.030303030303030304,0.025757575757575757
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37209302325581395,0.4356589147286822,0.018604651162790697,0.0015503875968992248,0.012403100775193798,0.015503875968992248,0.03565891472868217,0.07906976744186046,0.0031007751937984496,0.0015503875968992248,0.0,0.0015503875968992248,0.015503875968992248,0.0,0.0031007751937984496,0.0015503875968992248,0.0,0.0,0.0,0.0015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015503875968992248,0.0
8,0.021865889212827987,0.06559766763848396,0.06705539358600583,0.007288629737609329,0.027696793002915453,0.03498542274052478,0.02478134110787172,0.018950437317784258,0.013119533527696793,0.03644314868804665,0.027696793002915453,0.02478134110787172,0.01749271137026239,0.01749271137026239,0.09475218658892129,0.0029154518950437317,0.061224489795918366,0.021865889212827987,0.011661807580174927,0.029154518950437316,0.007288629737609329,0.0058309037900874635,0.030612244897959183,0.02040816326530612,0.04227405247813411,0.02040816326530612,0.030612244897959183,0.0728862973760933,0.011661807580174927,0.0058309037900874635,0.02040816326530612,0.021865889212827987,0.007288629737609329,0.01749271137026239,0.016034985422740525,0.004373177842565598,0.0,0.0,0.0,0.0,0.0029154518950437317,0.01020408163265306,0.0058309037900874635,0.01020408163265306,0.008746355685131196,0.0
