Emotion,P_Value,Cohens_D,Mean_GATECH,Mean_UNC
neutral,1.8628104926813285e-156,0.1182568999484611,0.46491885971712066,0.4250561361421878
curiosity,1.1369559346676079e-198,-0.10413870057849686,0.07616308484845322,0.09613720647552018
gratitude,0.17262547444577026,-0.09530771116146114,0.052563405078781336,0.07316280643682323
caring,1.0770648418751643e-174,-0.09077267261407075,0.024068739779806704,0.03322814391368165
optimism,2.23019991993408e-124,-0.07791225558063698,0.036325112145788235,0.04536995851332607
approval,9.496725486556522e-30,-0.07583686682313497,0.10855625393456662,0.12097532507573683
annoyance,5.7414023817924084e-49,0.07250285997740327,0.03718260833419786,0.031068415088548688
confusion,3.4562918525392115e-184,-0.05479039304398383,0.05748257361865757,0.06545648008459097
nervousness,4.5120010555771503e-38,-0.04983847649554578,0.0028845986051680575,0.004070371768712001
admiration,1.8044758704638945e-65,-0.044538825369340014,0.05043677739020706,0.05763948260460056
realization,1.7753364539551978e-20,0.04362469829866952,0.02716179225395038,0.024799458197998895
anger,0.08537224656825942,0.041536600692551634,0.010593066935127576,0.008433583696650543
disappointment,1.0602032665206436e-06,0.040073183798768126,0.028765179180956193,0.025464710413089137
love,3.334303039120485e-219,-0.03536801993018053,0.013395562473660414,0.016479265027028726
amusement,1.1286416527743344e-17,0.02941966548810681,0.03520378755868847,0.03085990145844543
relief,0.40125750250040326,-0.029187927367661768,0.0030795105282969363,0.0033515063541249995
embarrassment,3.046226885967731e-21,0.02809270767450684,0.0030102721911307853,0.00241862431263466
disgust,1.5096935357557686e-55,0.02712717688231895,0.005766943205550565,0.004814202433032417
desire,3.755678861809668e-109,-0.025769036369913168,0.013191415146291723,0.014762187336548896
surprise,0.15510717279586866,0.0196687830845523,0.009230298515376753,0.008170299421919863
sadness,1.5139769090737794e-28,0.016489237069083593,0.015099102132617215,0.013945128789741822
fear,1.5695078083022516e-12,-0.0161414937703838,0.0051702432234616265,0.005884168690715562
joy,0.5130015200908433,-0.013754612416711985,0.019898974476304118,0.02109030162988967
remorse,4.94546319388178e-84,-0.008843601947489286,0.008068667457980272,0.008635690807801905
pride,1.6700430208989231e-06,-0.005034929522468706,0.001584263989206553,0.001622772922442625
disapproval,2.9353101220066606e-34,-0.004090120135973845,0.04693212146530288,0.04739385287017941
grief,3.98878073354247e-32,-0.003988109005100027,0.0009192729190081364,0.0009285001020326971
excitement,0.05715309966037831,-0.0027447654932604734,0.011226738855015742,0.011361934313947641
