topic,topic_name,admiration,amusement,annoyance,approval,caring,confusion,curiosity,disappointment,disapproval,gratitude,optimism
0,"0: [high] Academic Planning & Course Registration (n=12,387)",0.05497699200775006,0.04173730523936385,0.030838782594655688,0.13344635504964883,0.04141438604989101,0.09025591345765722,0.16363929926535883,0.033825785097279404,0.03883103253410834,0.06151610559457496,0.04528941632356503
1,"1: [high] Academic & Career Development (n=10,216)",0.06362568519968677,0.04571260767423649,0.02682067345340642,0.1547572435395458,0.02750587314017228,0.08212607674236491,0.16914643696162882,0.028778386844166014,0.047866092404072046,0.06421299921691465,0.03670712607674236
2,"2: [low] Housing & Campus Life (n=7,492)",0.058462359850507205,0.046849973304858517,0.04191137213027229,0.11572343833422317,0.023491724506139882,0.07888414308595836,0.14321943406300053,0.024959957287773626,0.041243993593166044,0.049386011745862254,0.02762947143619861
3,"3: [high] Student Organizations & Events (n=3,790)",0.0683377308707124,0.0445910290237467,0.01978891820580475,0.10184696569920844,0.011345646437994723,0.06094986807387863,0.15408970976253297,0.017678100263852244,0.03403693931398417,0.07255936675461741,0.04195250659630607
4,"4: [high] Event Ticketing (n=3,080)",0.041233766233766234,0.04188311688311688,0.02922077922077922,0.0698051948051948,0.012337662337662338,0.06233766233766234,0.1262987012987013,0.02792207792207792,0.03603896103896104,0.052597402597402594,0.024025974025974027
5,"5: [high] Georgia Tech Football (n=4,341)",0.09606081548030408,0.045150886892421103,0.05413499193734163,0.08339092375028795,0.009214466712739,0.046763418567150425,0.0783229670582815,0.060124395300621976,0.05920294862934808,0.021423635107118175,0.0589725869615296
6,"6: [high] Campus Dining (n=2,663)",0.08261359369132558,0.054449868569282765,0.04956815621479534,0.10852422080360495,0.009012392039053699,0.06984603830266617,0.10514457378895982,0.04468644386030792,0.058956064588809615,0.029665790461885094,0.015771686068343973
7,"7: [high] Transportation & Parking (n=3,786)",0.04490227152667723,0.04648705758055996,0.05731642894875858,0.12070787110406762,0.017960908610670893,0.06893819334389857,0.11463285789751716,0.023507659799260432,0.0549392498679345,0.034601162176439514,0.025620707871104067
8,"8: [high] Campus Photography (n=1,354)",0.09601181683899557,0.07090103397341212,0.0206794682422452,0.07311669128508123,0.0066469719350073855,0.07459379615952733,0.12481536189069424,0.022156573116691284,0.024372230428360415,0.04283604135893648,0.01624815361890694
9,9: [high] Printing & Tech Resources (n=969),0.0392156862745098,0.04024767801857585,0.026831785345717233,0.08771929824561403,0.01238390092879257,0.1001031991744066,0.17647058823529413,0.016511867905056758,0.038183694530443756,0.0608875128998968,0.022703818369453045
10,10: [high] Campus IT Support (n=878),0.018223234624145785,0.04328018223234624,0.04555808656036447,0.08428246013667426,0.018223234624145785,0.10136674259681093,0.1662870159453303,0.06492027334851937,0.0489749430523918,0.05239179954441914,0.03302961275626424
11,11: [high] Student Health & Insurance (n=669),0.05680119581464873,0.03288490284005979,0.043348281016442454,0.14050822122571002,0.04633781763826607,0.07025411061285501,0.15396113602391628,0.01943198804185351,0.04633781763826607,0.07025411061285501,0.029895366218236172
12,"12: [high] Social & Mental Health (n=6,326)",0.07967119822952892,0.05659184318684793,0.042839076825798295,0.14084729687006006,0.052797976604489406,0.052481821055959534,0.08978817578248498,0.033196332595637056,0.04505216566550743,0.042522921277268415,0.03540942143534619
13,"13: [mixed] Campus Life & Student Experiences (n=2,548)",0.049843014128728415,0.0663265306122449,0.06161695447409733,0.1130298273155416,0.016483516483516484,0.06200941915227629,0.10478806907378337,0.025510204081632654,0.08594976452119309,0.018445839874411302,0.030612244897959183
14,14: [mixed] Campus Services & Administration (n=609),0.027914614121510674,0.024630541871921183,0.019704433497536946,0.06568144499178982,0.009852216748768473,0.12315270935960591,0.20853858784893267,0.021346469622331693,0.031198686371100164,0.08045977011494253,0.027914614121510674
15,15: [high] Registration & Waitlists (n=932),0.015021459227467811,0.034334763948497854,0.05042918454935622,0.08798283261802575,0.006437768240343348,0.09871244635193133,0.14377682403433475,0.04184549356223176,0.04291845493562232,0.048283261802575105,0.03648068669527897
16,16: [high] Email Phishing & Scams (n=659),0.024279210925644917,0.03490136570561457,0.04552352048558422,0.09256449165402124,0.04704097116843703,0.08649468892261002,0.11836115326251896,0.01669195751138088,0.05614567526555387,0.051593323216995446,0.019726858877086494
17,17: [high] Campus Wildlife & Stray Animals (n=584),0.1095890410958904,0.06164383561643835,0.0136986301369863,0.08732876712328767,0.030821917808219176,0.06335616438356165,0.12157534246575342,0.018835616438356163,0.02226027397260274,0.05136986301369863,0.032534246575342464
18,18: [high] Computer Science Threads (n=493),0.07505070993914807,0.04056795131845842,0.02028397565922921,0.1926977687626775,0.012170385395537525,0.07505070993914807,0.19066937119675456,0.010141987829614604,0.06490872210953347,0.058823529411764705,0.02028397565922921
19,19: [high] Voting & Elections (n=436),0.03211009174311927,0.03669724770642202,0.02522935779816514,0.13302752293577982,0.009174311926605505,0.07339449541284404,0.11926605504587157,0.020642201834862386,0.0779816513761468,0.04357798165137615,0.01834862385321101
20,20: [high] Campus Recreation Center (n=361),0.07756232686980609,0.04986149584487535,0.0110803324099723,0.18282548476454294,0.05263157894736842,0.08587257617728532,0.1440443213296399,0.01662049861495845,0.038781163434903045,0.0443213296398892,0.027700831024930747
21,21: [mixed] Mascot & School Spirit (n=275),0.09454545454545454,0.08363636363636363,0.02909090909090909,0.05454545454545454,0.014545454545454545,0.07272727272727272,0.12,0.025454545454545455,0.02909090909090909,0.014545454545454545,0.014545454545454545
22,22: [low] Campus News & Alerts (n=371),0.0431266846361186,0.09164420485175202,0.04043126684636118,0.07277628032345014,0.05390835579514825,0.07277628032345014,0.1078167115902965,0.03504043126684636,0.0646900269541779,0.03234501347708895,0.026954177897574125
24,24: [high] Campus Transportation (n=277),0.039711191335740074,0.09025270758122744,0.04332129963898917,0.09386281588447654,0.02527075812274368,0.09747292418772563,0.10108303249097472,0.021660649819494584,0.039711191335740074,0.05776173285198556,0.02888086642599278
25,25: [mixed] Subreddit Meta & Moderation (n=225),0.04,0.035555555555555556,0.07111111111111111,0.07555555555555556,0.017777777777777778,0.07111111111111111,0.10222222222222223,0.013333333333333334,0.06222222222222222,0.03111111111111111,0.02666666666666667
26,26: [high] Laundry & Hygiene (n=283),0.038869257950530034,0.0636042402826855,0.053003533568904596,0.05653710247349823,0.024734982332155476,0.07420494699646643,0.09540636042402827,0.024734982332155476,0.045936395759717315,0.01060070671378092,0.024734982332155476
27,27: [high] Favorite Professors (n=303),0.43234323432343236,0.052805280528052806,0.013201320132013201,0.07590759075907591,0.0165016501650165,0.0165016501650165,0.0429042904290429,0.0165016501650165,0.006600660066006601,0.0297029702970297,0.0033003300330033004
28,28: [mixed] Campus Culture & Student Life (n=367),0.0681198910081744,0.07629427792915532,0.027247956403269755,0.09536784741144415,0.010899182561307902,0.051771117166212535,0.07629427792915532,0.0326975476839237,0.0681198910081744,0.013623978201634877,0.005449591280653951
