topic,topic_name,admiration,amusement,annoyance,approval,caring,confusion,curiosity,disappointment,disapproval,gratitude,optimism
0,"0: [high] Academic Planning & Course Selection (n=11,033)",0.09562222423638177,0.040968005075682046,0.017855524336082663,0.16631922414574457,0.03716124354210097,0.09326565757273633,0.20964379588507207,0.023021843560228406,0.040152270461343245,0.08828061270733255,0.04160246533127889
1,"1: [mixed] Parking & Transportation (n=5,563)",0.0647132841991731,0.04565881718497214,0.027862664030199533,0.11558511594463419,0.020133021750853856,0.09778896278986159,0.16591767032176882,0.022290131224159626,0.03667086104619809,0.05896099227035772,0.028761459644076937
2,"2: [high] Transfer & Financial Aid (n=7,020)",0.06096866096866097,0.0301994301994302,0.017094017094017096,0.1415954415954416,0.050997150997151,0.08903133903133903,0.16467236467236468,0.03034188034188034,0.049002849002849,0.08475783475783476,0.06054131054131054
3,"3: [high] Housing & Accommodation (n=4,436)",0.07777276825969341,0.04238052299368801,0.022317403065825067,0.13660955816050496,0.02502254283137962,0.07461677186654644,0.17741208295761948,0.018935978358881875,0.033363390441839495,0.07912533814247069,0.04012623985572588
4,"4: [high] Academic Planning & Major Selection (n=5,006)",0.10627247303236116,0.03975229724330803,0.011586096683979225,0.20954854174990012,0.030962844586496206,0.07351178585697163,0.1767878545745106,0.018577706751897724,0.0449460647223332,0.08789452656811826,0.0407510986815821
5,"5: [mixed] Political & Campus Discourse (n=5,175)",0.03285024154589372,0.04734299516908213,0.07536231884057971,0.10183574879227053,0.02009661835748792,0.0655072463768116,0.11671497584541063,0.026280193236714974,0.07439613526570048,0.021449275362318842,0.02821256038647343
6,"6: [high] Course Registration & Waitlists (n=1,854)",0.02535059331175836,0.023732470334412083,0.016720604099244876,0.09331175836030205,0.03559870550161812,0.1353829557713053,0.21251348435814454,0.03559870550161812,0.03505933117583603,0.08036677454153182,0.05285868392664509
7,"7: [high] Sports Ticket Sales (n=1,384)",0.04841040462427745,0.03829479768786127,0.02023121387283237,0.05563583815028902,0.014450867052023121,0.0657514450867052,0.20086705202312138,0.02023121387283237,0.031791907514450865,0.06502890173410404,0.028901734104046242
8,"8: [high] Student Clubs & Activities (n=1,001)",0.057942057942057944,0.03696303696303696,0.00999000999000999,0.1048951048951049,0.016983016983016984,0.06793206793206794,0.23776223776223776,0.01998001998001998,0.030969030969030968,0.07292707292707293,0.054945054945054944
9,"9: [mixed] Study Abroad & Admissions (n=2,055)",0.1386861313868613,0.03844282238442823,0.008759124087591242,0.1318734793187348,0.029683698296836983,0.07007299270072993,0.24574209245742093,0.016058394160583942,0.026277372262773723,0.15961070559610704,0.05547445255474453
10,"10: [high] Nursing & Healthcare Careers (n=1,013)",0.09674234945705824,0.02665350444225074,0.005923000987166831,0.15004935834155972,0.03652517275419546,0.08094768015794669,0.2783810463968411,0.0315893385982231,0.02171767028627838,0.11352418558736427,0.04639684106614018
11,"11: [high] Admissions Decisions (n=1,526)",0.0327653997378768,0.04062909567496723,0.011140235910878113,0.07339449541284404,0.057667103538663174,0.0982961992136304,0.22935779816513763,0.0327653997378768,0.03473132372214941,0.07470511140235911,0.0963302752293578
12,12: [high] IT & Account Support (n=837),0.022700119474313024,0.054958183990442055,0.03345280764635603,0.09199522102747909,0.022700119474313024,0.11947431302270012,0.17562724014336917,0.02986857825567503,0.02867383512544803,0.06332138590203107,0.02986857825567503
13,"13: [high] Social Life & Friendships (n=2,189)",0.09273640931932389,0.058017359524897213,0.03563270899954317,0.17222476016445865,0.0648698035632709,0.04202832343535861,0.10552763819095477,0.0328917313841937,0.040657834627683874,0.06258565555047967,0.047967108268615805
14,"14: [mixed] Mental Health & Well‑Being (n=2,351)",0.07188430455125479,0.04168438962143769,0.030625265844321566,0.15312632922160782,0.15057422373458104,0.047213951509995744,0.08336877924287538,0.040833687792428755,0.029774564015312633,0.07954062101233518,0.07060825180774138
15,15: [high] Graduation & Regalia (n=479),0.06263048016701461,0.04175365344467641,0.008350730688935281,0.1315240083507307,0.022964509394572025,0.08977035490605428,0.19624217118997914,0.0041753653444676405,0.022964509394572025,0.081419624217119,0.022964509394572025
16,16: [mixed] Lost & Found Items (n=400),0.045,0.035,0.01,0.065,0.03,0.0825,0.1675,0.015,0.03,0.0975,0.035
17,17: [high] Campus Fitness & Gym Services (n=448),0.08035714285714286,0.044642857142857144,0.011160714285714286,0.17410714285714285,0.024553571428571428,0.08482142857142858,0.1875,0.008928571428571428,0.03571428571428571,0.049107142857142856,0.05133928571428571
19,19: [high] Laptop Grant Program (n=276),0.06884057971014493,0.025362318840579712,0.010869565217391304,0.1956521739130435,0.021739130434782608,0.10144927536231885,0.2210144927536232,0.007246376811594203,0.028985507246376812,0.08333333333333333,0.028985507246376812
20,20: [high] Health Insurance & Tuition (n=555),0.02702702702702703,0.018018018018018018,0.01981981981981982,0.13693693693693693,0.023423423423423424,0.11171171171171171,0.16756756756756758,0.016216216216216217,0.05405405405405406,0.08648648648648649,0.04144144144144144
21,21: [high] Textbooks & Study Materials (n=275),0.07636363636363637,0.03636363636363636,0.014545454545454545,0.08727272727272728,0.03272727272727273,0.08363636363636363,0.22181818181818183,0.007272727272727273,0.02909090909090909,0.12,0.014545454545454545
23,23: [high] Morehead-Cain Scholarship (n=378),0.05026455026455026,0.021164021164021163,0.026455026455026454,0.09259259259259259,0.03968253968253968,0.10582010582010581,0.24074074074074073,0.023809523809523808,0.06613756613756613,0.07407407407407407,0.07671957671957672
25,25: [high] Pets & Animal Care (n=323),0.0804953560371517,0.04953560371517028,0.058823529411764705,0.09597523219814241,0.034055727554179564,0.04024767801857585,0.07120743034055728,0.009287925696594427,0.06811145510835913,0.05263157894736842,0.034055727554179564
