campus,label,count,proportion
UNC,neutral + approval,19373,0.22230254627239032
UNC,neutral + annoyance,6258,0.07180970085028744
UNC,curiosity + neutral,5118,0.05872835553719577
UNC,approval + neutral,4439,0.050936922670889416
UNC,neutral + disapproval,4355,0.04997303406887214
UNC,admiration + approval,2276,0.026116791168944428
UNC,neutral + curiosity,2264,0.02597909279722767
UNC,gratitude + approval,1824,0.020930152500946677
UNC,neutral + confusion,1799,0.020643280893203438
UNC,confusion + neutral,1703,0.019541693919469402
UNC,curiosity + confusion,1679,0.019266297176035892
UNC,disapproval + neutral,1574,0.018061436423514293
UNC,neutral + realization,1396,0.016018910576382436
UNC,gratitude + curiosity,1232,0.01413703282958679
UNC,gratitude + admiration,992,0.0113830653952517
UNC,confusion + curiosity,939,0.010774897586836035
UNC,amusement + neutral,811,0.009306114955190655
UNC,approval + admiration,762,0.008743846604013908
UNC,caring + approval,727,0.008342226353173374
UNC,amusement + joy,725,0.008319276624553914
GATECH,neutral + approval,58922,0.28491160883524813
GATECH,neutral + disapproval,11144,0.05388572975900352
GATECH,curiosity + neutral,9890,0.047822134540249896
GATECH,approval + neutral,9024,0.043634675641174424
GATECH,neutral + curiosity,6016,0.029089783760782948
GATECH,neutral + annoyance,5960,0.028819001199179916
GATECH,admiration + approval,4662,0.022542648253452476
GATECH,neutral + realization,4556,0.022030095547561024
GATECH,neutral + confusion,4504,0.021778654597501064
GATECH,confusion + neutral,3832,0.018529263858264672
GATECH,disapproval + neutral,3770,0.018229468879347028
GATECH,neutral + gratitude,3696,0.017871649065800164
GATECH,curiosity + confusion,3360,0.016246953696181964
GATECH,amusement + neutral,2684,0.012978221345402498
GATECH,gratitude + approval,2464,0.011914432710533442
GATECH,neutral + disappointment,2318,0.01120846388921125
GATECH,gratitude + neutral,2196,0.0106185447371475
GATECH,amusement + joy,2100,0.010154346060113728
GATECH,annoyance + neutral,1808,0.008742408417469344
GATECH,confusion + curiosity,1762,0.008519979884723996
