"address","categories/0","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","kgmid","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Dietary restrictions","reviewContext/Group size","reviewContext/Meal type","reviewContext/Noise level","reviewContext/Parking options","reviewContext/Parking space","reviewContext/Price per person","reviewContext/Recommendation for vegetarians","reviewContext/Recommended dishes","reviewContext/Reservation","reviewContext/Seating type","reviewContext/Service","reviewContext/Special events","reviewContext/Vegetarian offerings","reviewContext/Vegetarian options","reviewContext/Wait time","reviewContext/Wheelchair accessibility","reviewDetailedRating/Atmosphere","reviewDetailedRating/Food","reviewDetailedRating/Service","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"120 North Ave NW, Atlanta, GA 30332","Cafeteria","Cafeteria","15375120884767930142","Atlanta","US","0x88f50463425fe343:0xd55f66fbdb48371e","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZCDF0wwCEln04Qk_kpn1N5mAZm4e7s7w324l2hcI69eMoJxxG47Xd0G1gE9as09ykgQ9PvGl3y5e6S8tgyHalTW2C17EZZcGADFVAsmIFaWDifrcn7GnFZ79EK3wQ6aMRQqi4w=w408-h544-k-no","false","true","/g/11bwkb7t4r","en","0","33.7710288","-84.3912978","Andrea Wright","Hotel District","en","false","ChIJQ-NfQmME9YgRHjdI2_tmX9U","30332","$10–20","a week ago","2026-02-23T11:23:17.917Z",,,,,,,,,,,,,,,,,,,,,"5","4","5","Ci9DQUlRQUNvZENodHljRjlvT2toeGVHaFdkbXR0YlU1Mk9VaHRTbFYxTnpnd04xRRAB",,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2toeGVHaFdkbXR0YlU1Mk9VaHRTbFYxTnpnd04xRRAB!2m1!1s0x0:0xd55f66fbdb48371e!3m1!1s2@1:CAIQACodChtycF9oOkhxeGhWdmttbU52OUhtSlV1NzgwN1E%7C0db2X_qgFtr%7C?hl=en","115716156049471875115","48","https://lh3.googleusercontent.com/a-/ALV-UjWlBlT7WRYFmaxqwC0a3Drlmj32_vtc2Lyf1STclHhU-zjyrQCb0w=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/115716156049471875115?hl=en","306","2026-03-07T17:33:46.712Z","Direct Detail URL: https://www.google.com/maps/place/North+Avenue+Dining+Hall/@33.7710284,-84.4015761,15z/data=!3m1!4b1!4m6!3m5!1s0x88f50463425fe343:0xd55f66fbdb48371e!8m2!3d33.7710288!4d-84.3912978!16s%2Fg%2F11bwkb7t4r?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","5","Georgia","120 North Ave NW","false","Staff is the best professional   kind and thoughtful.",,"North Avenue Dining Hall","3.3",,"https://www.google.com/maps/search/?api=1&query=North%20Avenue%20Dining%20Hall&query_place_id=ChIJQ-NfQmME9YgRHjdI2_tmX9U",
"120 North Ave NW, Atlanta, GA 30332","Cafeteria","Cafeteria","15375120884767930142","Atlanta","US","0x88f50463425fe343:0xd55f66fbdb48371e","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZCDF0wwCEln04Qk_kpn1N5mAZm4e7s7w324l2hcI69eMoJxxG47Xd0G1gE9as09ykgQ9PvGl3y5e6S8tgyHalTW2C17EZZcGADFVAsmIFaWDifrcn7GnFZ79EK3wQ6aMRQqi4w=w408-h544-k-no","false","true","/g/11bwkb7t4r","en","0","33.7710288","-84.3912978","Melly","Hotel District","en","false","ChIJQ-NfQmME9YgRHjdI2_tmX9U","30332","$10–20","a month ago","2026-01-31T07:08:31.760Z",,,,,,,,,,"$10–20",,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2sxaE1UVlNVbWxmY0dreGIzZ3dNbkJvVURVME1VRRAB",,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxaE1UVlNVbWxmY0dreGIzZ3dNbkJvVURVME1VRRAB!2m1!1s0x0:0xd55f66fbdb48371e!3m1!1s2@1:CAIQACodChtycF9oOk1hMTVSUmlfcGkxb3gwMnBoUDU0MUE%7C0dUPdjhJdj5%7C?hl=en","113984981967706738181","50","https://lh3.googleusercontent.com/a/ACg8ocLWo_m6sdpf9nHNZRdp-ox5_dk8-wuIt7hyHoLXXQOUBYzbFw=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/113984981967706738181?hl=en","306","2026-03-07T17:33:46.712Z","Direct Detail URL: https://www.google.com/maps/place/North+Avenue+Dining+Hall/@33.7710284,-84.4015761,15z/data=!3m1!4b1!4m6!3m5!1s0x88f50463425fe343:0xd55f66fbdb48371e!8m2!3d33.7710288!4d-84.3912978!16s%2Fg%2F11bwkb7t4r?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","4","Georgia","120 North Ave NW","false","GT students & staff buy meals in packs of 20+ & eat for $11 meal! Open to the public for $14 single meal tickets. Large multi-station buffets & many vegetarian tofu options. High ceilings & well lit dining hall.",,"North Avenue Dining Hall","3.3",,"https://www.google.com/maps/search/?api=1&query=North%20Avenue%20Dining%20Hall&query_place_id=ChIJQ-NfQmME9YgRHjdI2_tmX9U",
"120 North Ave NW, Atlanta, GA 30332","Cafeteria","Cafeteria","15375120884767930142","Atlanta","US","0x88f50463425fe343:0xd55f66fbdb48371e","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZCDF0wwCEln04Qk_kpn1N5mAZm4e7s7w324l2hcI69eMoJxxG47Xd0G1gE9as09ykgQ9PvGl3y5e6S8tgyHalTW2C17EZZcGADFVAsmIFaWDifrcn7GnFZ79EK3wQ6aMRQqi4w=w408-h544-k-no","false","false","/g/11bwkb7t4r","en","0","33.7710288","-84.3912978","Aedan Wen","Hotel District",,"false","ChIJQ-NfQmME9YgRHjdI2_tmX9U","30332","$10–20","2 months ago","2025-12-30T13:01:19.238Z",,,,,,,"Loud, but you can still talk",,,,,,,"Indoor dining area, Outdoor patio / terrace","Dine in",,,,"No wait",,"5","1","4","Ci9DQUlRQUNvZENodHljRjlvT2tkc1NYbHBORzFKVTA1M1dIVnFMVFl6TWtWclExRRAB",,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tkc1NYbHBORzFKVTA1M1dIVnFMVFl6TWtWclExRRAB!2m1!1s0x0:0xd55f66fbdb48371e!3m1!1s2@1:CAIQACodChtycF9oOkdsSXlpNG1JU053WHVqLTYzMkVrQ1E%7C0dJwoUDC229%7C?hl=en","114981848118782177657","1","https://lh3.googleusercontent.com/a-/ALV-UjUM5zuSMqCINq67jN0nQeeiU5EQvlsUYYtVUGBgF3CBXmiiE10tMA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/114981848118782177657?hl=en","306","2026-03-07T17:33:46.712Z","Direct Detail URL: https://www.google.com/maps/place/North+Avenue+Dining+Hall/@33.7710284,-84.4015761,15z/data=!3m1!4b1!4m6!3m5!1s0x88f50463425fe343:0xd55f66fbdb48371e!8m2!3d33.7710288!4d-84.3912978!16s%2Fg%2F11bwkb7t4r?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","2","Georgia","120 North Ave NW","false",,,"North Avenue Dining Hall","3.3",,"https://www.google.com/maps/search/?api=1&query=North%20Avenue%20Dining%20Hall&query_place_id=ChIJQ-NfQmME9YgRHjdI2_tmX9U",
"120 North Ave NW, Atlanta, GA 30332","Cafeteria","Cafeteria","15375120884767930142","Atlanta","US","0x88f50463425fe343:0xd55f66fbdb48371e","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZCDF0wwCEln04Qk_kpn1N5mAZm4e7s7w324l2hcI69eMoJxxG47Xd0G1gE9as09ykgQ9PvGl3y5e6S8tgyHalTW2C17EZZcGADFVAsmIFaWDifrcn7GnFZ79EK3wQ6aMRQqi4w=w408-h544-k-no","false","false","/g/11bwkb7t4r","en","0","33.7710288","-84.3912978","CoCo B","Hotel District","en","false","ChIJQ-NfQmME9YgRHjdI2_tmX9U","30332","$10–20","3 months ago","2025-12-04T01:38:56.306Z",,,,,,,,,,,,,,,,,,,,,"1","1","1","Ci9DQUlRQUNvZENodHljRjlvT25kd2NYUm1aM015TlZaVVNGZFlUbkUzY0RSR1RFRRAB",,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25kd2NYUm1aM015TlZaVVNGZFlUbkUzY0RSR1RFRRAB!2m1!1s0x0:0xd55f66fbdb48371e!3m1!1s2@1:CAIQACodChtycF9oOndwcXRmZ3MyNVZUSFdYTnE3cDRGTEE%7C0dBDNkHHXgt%7C?hl=en","113529436015931734814","10","https://lh3.googleusercontent.com/a-/ALV-UjWXc67beEQNwANIM06rYT9aPQPO_dt-E6iEMwZQe5lFv9XDksh8=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/113529436015931734814?hl=en","306","2026-03-07T17:33:46.712Z","Direct Detail URL: https://www.google.com/maps/place/North+Avenue+Dining+Hall/@33.7710284,-84.4015761,15z/data=!3m1!4b1!4m6!3m5!1s0x88f50463425fe343:0xd55f66fbdb48371e!8m2!3d33.7710288!4d-84.3912978!16s%2Fg%2F11bwkb7t4r?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","1","Georgia","120 North Ave NW","false","dont waste ur money on this SLOP!!!!!",,"North Avenue Dining Hall","3.3",,"https://www.google.com/maps/search/?api=1&query=North%20Avenue%20Dining%20Hall&query_place_id=ChIJQ-NfQmME9YgRHjdI2_tmX9U",
"120 North Ave NW, Atlanta, GA 30332","Cafeteria","Cafeteria","15375120884767930142","Atlanta","US","0x88f50463425fe343:0xd55f66fbdb48371e","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZCDF0wwCEln04Qk_kpn1N5mAZm4e7s7w324l2hcI69eMoJxxG47Xd0G1gE9as09ykgQ9PvGl3y5e6S8tgyHalTW2C17EZZcGADFVAsmIFaWDifrcn7GnFZ79EK3wQ6aMRQqi4w=w408-h544-k-no","false","true","/g/11bwkb7t4r","en","0","33.7710288","-84.3912978","Vincent Stubbs","Hotel District","en","false","ChIJQ-NfQmME9YgRHjdI2_tmX9U","30332","$10–20","Edited 3 months ago","2025-11-10T14:22:42.842Z",,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21sbVpFODFOMXBCVWxwblRUQkJkVzFyT0dFeE9YYxAB","https://lh3.googleusercontent.com/geougc-cs/ABOP9pspM4-4q3KKvIaY9gWZT5lBueYMwIUCuYu4I-B-rZIY0YMs-TlDHFpgYx4fGow_q6q5yvYJhZx6bAo0CHt4nB3z4Bb3_3rbP-pF7kq4tX6ELWAZO0rGXCij7dtW_vKBTq-JRcrk0DajicX3",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21sbVpFODFOMXBCVWxwblRUQkJkVzFyT0dFeE9YYxAB!2m1!1s0x0:0xd55f66fbdb48371e!3m1!1s2@1:CAIQACodChtycF9oOmlmZE81N1pBUlpnTTBBdW1rOGExOXc%7C0d3UJmmDpfW%7C?hl=en","114412295739053711634","31","https://lh3.googleusercontent.com/a-/ALV-UjX3uczmKbBOE_KI0fGjHgTiQJzpPnoVkhp14dvbU6A0tEZ-YLeD=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/114412295739053711634?hl=en","306","2026-03-07T17:33:46.712Z","Direct Detail URL: https://www.google.com/maps/place/North+Avenue+Dining+Hall/@33.7710284,-84.4015761,15z/data=!3m1!4b1!4m6!3m5!1s0x88f50463425fe343:0xd55f66fbdb48371e!8m2!3d33.7710288!4d-84.3912978!16s%2Fg%2F11bwkb7t4r?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","2","Georgia","120 North Ave NW","false","I am a Georgia Tech graduate student and decided to try out the dining halls, which is a decision I regret more than my last relationship. I don’t like leaving bad reviews, but most of the food was really cold and even when it is hot, it still tastes like rubber (heavily processed). The only justification to eat here is if you’re on scholarship and have no other choice.

I tried eating as much of the food in my photo as possible, out of respect for the animals and plants that died to make it. But it was hard and I was happy to fill the rest of my stomach with Thai food afterwards, to make up for this culinary crime against humanity.",,"North Avenue Dining Hall","3.3",,"https://www.google.com/maps/search/?api=1&query=North%20Avenue%20Dining%20Hall&query_place_id=ChIJQ-NfQmME9YgRHjdI2_tmX9U",
"120 North Ave NW, Atlanta, GA 30332","Cafeteria","Cafeteria","15375120884767930142","Atlanta","US","0x88f50463425fe343:0xd55f66fbdb48371e","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZCDF0wwCEln04Qk_kpn1N5mAZm4e7s7w324l2hcI69eMoJxxG47Xd0G1gE9as09ykgQ9PvGl3y5e6S8tgyHalTW2C17EZZcGADFVAsmIFaWDifrcn7GnFZ79EK3wQ6aMRQqi4w=w408-h544-k-no","false","false","/g/11bwkb7t4r","en","0","33.7710288","-84.3912978","Phin Kofman","Hotel District","en","false","ChIJQ-NfQmME9YgRHjdI2_tmX9U","30332","$10–20","4 months ago","2025-11-04T02:56:10.232Z",,,,,,,,,,,,,,,,,,,,,"5","2","1","Ci9DQUlRQUNvZENodHljRjlvT2pVNVdtSnNMV0ozWldsUk1rZzFRMEkzTUZCeGQwRRAB",,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pVNVdtSnNMV0ozWldsUk1rZzFRMEkzTUZCeGQwRRAB!2m1!1s0x0:0xd55f66fbdb48371e!3m1!1s2@1:CAIQACodChtycF9oOjU5WmJsLWJ3ZWlRMkg1Q0I3MFBxd0E%7C0d1Lh9CqA4l%7C?hl=en","117834124634969504670","3","https://lh3.googleusercontent.com/a-/ALV-UjUU1dUaZjlO2CfG27T7Y7qWLpotS5lvg552PvAwYvlWfhD02gUy=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/117834124634969504670?hl=en","306","2026-03-07T17:33:46.712Z","Direct Detail URL: https://www.google.com/maps/place/North+Avenue+Dining+Hall/@33.7710284,-84.4015761,15z/data=!3m1!4b1!4m6!3m5!1s0x88f50463425fe343:0xd55f66fbdb48371e!8m2!3d33.7710288!4d-84.3912978!16s%2Fg%2F11bwkb7t4r?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","2","Georgia","120 North Ave NW","false","This place is NOT better than willage",,"North Avenue Dining Hall","3.3",,"https://www.google.com/maps/search/?api=1&query=North%20Avenue%20Dining%20Hall&query_place_id=ChIJQ-NfQmME9YgRHjdI2_tmX9U",
"120 North Ave NW, Atlanta, GA 30332","Cafeteria","Cafeteria","15375120884767930142","Atlanta","US","0x88f50463425fe343:0xd55f66fbdb48371e","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZCDF0wwCEln04Qk_kpn1N5mAZm4e7s7w324l2hcI69eMoJxxG47Xd0G1gE9as09ykgQ9PvGl3y5e6S8tgyHalTW2C17EZZcGADFVAsmIFaWDifrcn7GnFZ79EK3wQ6aMRQqi4w=w408-h544-k-no","false","false","/g/11bwkb7t4r","en","0","33.7710288","-84.3912978","Jin Hyeong Kim","Hotel District","en","false","ChIJQ-NfQmME9YgRHjdI2_tmX9U","30332","$10–20","4 months ago","2025-11-01T01:09:38.467Z",,,,,,,,,,,,,,,,,,,,,"1","1","1","Ci9DQUlRQUNvZENodHljRjlvT25KVVFXcERVMVpEUTJvMWJrcFNPRFpwUjJGZk9GRRAB",,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KVVFXcERVMVpEUTJvMWJrcFNPRFpwUjJGZk9GRRAB!2m1!1s0x0:0xd55f66fbdb48371e!3m1!1s2@1:CAIQACodChtycF9oOnJUQWpDU1ZDQ2o1bkpSODZpR2FfOFE%7C0d0KrHQqua9%7C?hl=en","102807633388346660053","4","https://lh3.googleusercontent.com/a/ACg8ocJoAeNStszRj6_vZTTcGNFCH03lg8szBgavNwFOmJD5eT75JA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102807633388346660053?hl=en","306","2026-03-07T17:33:46.712Z","Direct Detail URL: https://www.google.com/maps/place/North+Avenue+Dining+Hall/@33.7710284,-84.4015761,15z/data=!3m1!4b1!4m6!3m5!1s0x88f50463425fe343:0xd55f66fbdb48371e!8m2!3d33.7710288!4d-84.3912978!16s%2Fg%2F11bwkb7t4r?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","1","Georgia","120 North Ave NW","false","Miles better than West Village, but quality's still pretty poor. Stop drowning the food in salt, sometimes it's unbearable. Y'all gonna pay for my heart surgery?",,"North Avenue Dining Hall","3.3",,"https://www.google.com/maps/search/?api=1&query=North%20Avenue%20Dining%20Hall&query_place_id=ChIJQ-NfQmME9YgRHjdI2_tmX9U",
"120 North Ave NW, Atlanta, GA 30332","Cafeteria","Cafeteria","15375120884767930142","Atlanta","US","0x88f50463425fe343:0xd55f66fbdb48371e","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZCDF0wwCEln04Qk_kpn1N5mAZm4e7s7w324l2hcI69eMoJxxG47Xd0G1gE9as09ykgQ9PvGl3y5e6S8tgyHalTW2C17EZZcGADFVAsmIFaWDifrcn7GnFZ79EK3wQ6aMRQqi4w=w408-h544-k-no","false","true","/g/11bwkb7t4r","en","0","33.7710288","-84.3912978","Aaron Shabazz","Hotel District",,"false","ChIJQ-NfQmME9YgRHjdI2_tmX9U","30332","$10–20","4 months ago","2025-10-24T09:38:21.976Z",,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT25OWVpuVk1Wa0pIVmxka1p6RjBSVTFqVG01allsRRAB",,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OWVpuVk1Wa0pIVmxka1p6RjBSVTFqVG01allsRRAB!2m1!1s0x0:0xd55f66fbdb48371e!3m1!1s2@1:CAIQACodChtycF9oOnNYZnVMVkJHVldkZzF0RU1jTm5jYlE%7C0cyoZCuB-BH%7C?hl=en","102740462475109465006","35","https://lh3.googleusercontent.com/a-/ALV-UjXgwR0DMWGEFY5MpoehZh_UHt5aTWBWebi36QsuEGWk1oHVsgPyxA=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/102740462475109465006?hl=en","306","2026-03-07T17:33:46.712Z","Direct Detail URL: https://www.google.com/maps/place/North+Avenue+Dining+Hall/@33.7710284,-84.4015761,15z/data=!3m1!4b1!4m6!3m5!1s0x88f50463425fe343:0xd55f66fbdb48371e!8m2!3d33.7710288!4d-84.3912978!16s%2Fg%2F11bwkb7t4r?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","5","Georgia","120 North Ave NW","false",,,"North Avenue Dining Hall","3.3",,"https://www.google.com/maps/search/?api=1&query=North%20Avenue%20Dining%20Hall&query_place_id=ChIJQ-NfQmME9YgRHjdI2_tmX9U",
"120 North Ave NW, Atlanta, GA 30332","Cafeteria","Cafeteria","15375120884767930142","Atlanta","US","0x88f50463425fe343:0xd55f66fbdb48371e","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZCDF0wwCEln04Qk_kpn1N5mAZm4e7s7w324l2hcI69eMoJxxG47Xd0G1gE9as09ykgQ9PvGl3y5e6S8tgyHalTW2C17EZZcGADFVAsmIFaWDifrcn7GnFZ79EK3wQ6aMRQqi4w=w408-h544-k-no","false","false","/g/11bwkb7t4r","en","0","33.7710288","-84.3912978","Anubhav Behera","Hotel District","en","false","ChIJQ-NfQmME9YgRHjdI2_tmX9U","30332","$10–20","5 months ago","2025-09-30T15:09:25.130Z",,,,,,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21wRVZUSk1XbUpQVEdKUFF6TmhXbmxTZWxoT2MzYxAB",,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wRVZUSk1XbUpQVEdKUFF6TmhXbmxTZWxoT2MzYxAB!2m1!1s0x0:0xd55f66fbdb48371e!3m1!1s2@1:CAIQACodChtycF9oOmpEVTJMWmJPTGJPQzNhWnlSelhOc3c%7C0cqz9_6lmmb%7C?hl=en","109525350580885061512","4","https://lh3.googleusercontent.com/a-/ALV-UjXWWd6ab8oUf39bx9W5ZNygWOlT_5zPyrjWxNBePLGZohHKuajNig=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109525350580885061512?hl=en","306","2026-03-07T17:33:46.712Z","Direct Detail URL: https://www.google.com/maps/place/North+Avenue+Dining+Hall/@33.7710284,-84.4015761,15z/data=!3m1!4b1!4m6!3m5!1s0x88f50463425fe343:0xd55f66fbdb48371e!8m2!3d33.7710288!4d-84.3912978!16s%2Fg%2F11bwkb7t4r?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","2","Georgia","120 North Ave NW","false","screw nav",,"North Avenue Dining Hall","3.3",,"https://www.google.com/maps/search/?api=1&query=North%20Avenue%20Dining%20Hall&query_place_id=ChIJQ-NfQmME9YgRHjdI2_tmX9U",
"120 North Ave NW, Atlanta, GA 30332","Cafeteria","Cafeteria","15375120884767930142","Atlanta","US","0x88f50463425fe343:0xd55f66fbdb48371e","https://lh3.googleusercontent.com/gps-cs-s/AHVAweohZCDF0wwCEln04Qk_kpn1N5mAZm4e7s7w324l2hcI69eMoJxxG47Xd0G1gE9as09ykgQ9PvGl3y5e6S8tgyHalTW2C17EZZcGADFVAsmIFaWDifrcn7GnFZ79EK3wQ6aMRQqi4w=w408-h544-k-no","false","false","/g/11bwkb7t4r","en","0","33.7710288","-84.3912978","Julie Robbins","Hotel District","en","false","ChIJQ-NfQmME9YgRHjdI2_tmX9U","30332","$10–20","5 months ago","2025-09-30T12:50:26.446Z",,,,,,,,,,,,,,,,,,,,,"1","1","1","Ci9DQUlRQUNvZENodHljRjlvT2xneWJFUlRZV0ZsUzI5aFpEWjRNWGMzVEdkaWVuYxAB",,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xneWJFUlRZV0ZsUzI5aFpEWjRNWGMzVEdkaWVuYxAB!2m1!1s0x0:0xd55f66fbdb48371e!3m1!1s2@1:CAIQACodChtycF9oOlgybERTYWFlS29hZDZ4MXc3TGdienc%7C0cqx7HP_jTr%7C?hl=en","102710313918163773153","7","https://lh3.googleusercontent.com/a-/ALV-UjXmEa4RWWXJuHY-lvBMVX6RTHXPtEVFfryuPnQHYHVT2kcauOzs=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102710313918163773153?hl=en","306","2026-03-07T17:33:46.712Z","Direct Detail URL: https://www.google.com/maps/place/North+Avenue+Dining+Hall/@33.7710284,-84.4015761,15z/data=!3m1!4b1!4m6!3m5!1s0x88f50463425fe343:0xd55f66fbdb48371e!8m2!3d33.7710288!4d-84.3912978!16s%2Fg%2F11bwkb7t4r?entry=ttu&g_ep=EgoyMDI2MDMwNC4xIKXMDSoASAFQAw%3D%3D","1","Georgia","120 North Ave NW","false","Got Roaches",,"North Avenue Dining Hall","3.3",,"https://www.google.com/maps/search/?api=1&query=North%20Avenue%20Dining%20Hall&query_place_id=ChIJQ-NfQmME9YgRHjdI2_tmX9U",
